age_binary,age_bucketized,sex_binary,race_C,score,rank,juv_fel_count_C,decile_score_C,juv_misd_count_C,juv_other_count_C,priors_count_C,days_b_screening_arrest_C,c_days_from_compas_C,c_charge_degree_C,v_decile_score_C,start_C,end_C,event_C,MarriageStatus_C,is_recid,is_violent_recid,two_year_recid,Violence_score,Recidivism_score
0,0,0,2,2.197414123012825,20,0,0,1,1,0,0,1,1,0,1,2,0,2,1,0,0,-0.5620128762555225,-0.4744372333743962
1,0,1,0,2.1925507303669614,21,3,0,2,0,0,2,0,0,1,1,2,0,4,1,0,1,-1.8004138437086623,-2.9727966533965486
1,1,0,2,2.187771392617116,22,0,0,2,2,1,1,2,1,0,1,2,0,4,0,0,0,0.8962107438050753,-2.2558189489099543
0,1,1,1,2.182038444717292,23,2,0,1,1,0,0,1,1,1,2,0,1,4,0,1,1,-0.7422984258955618,0.5821187359967537
0,0,1,0,2.1811348850934285,24,0,1,2,1,3,2,1,1,1,0,1,0,3,0,0,0,-2.7157723776164326,-0.6956634047998671
1,1,0,0,2.1799343367922326,25,2,0,1,1,2,1,2,1,0,0,1,0,0,1,0,1,-3.9180220631719767,-1.827431308937936
0,1,0,1,2.1769978029534487,26,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,1,-0.41992695068167496,-1.7482852121414751
0,1,0,1,2.1714142588543925,27,2,1,0,2,0,0,2,0,1,2,0,1,6,1,1,1,0.9096685854374869,-2.6961171618701383
1,0,1,2,2.1712643817111825,28,3,1,1,2,3,0,2,0,1,2,2,1,3,1,0,1,-1.6735835432229087,-0.3914663690364173
0,1,1,1,2.1710547267761013,29,0,1,0,0,1,2,2,0,1,2,2,1,6,0,1,1,-4.496960841098896,-2.141251542157028
1,1,0,1,2.1672130834324856,30,0,0,2,1,2,0,1,1,1,0,2,0,0,0,0,1,-2.7734864427581694,0.23384522200621305
0,1,0,0,2.164087094933939,31,1,1,2,2,2,2,0,1,0,1,2,1,5,1,0,1,0.33912486059548463,1.5260589957927158
0,0,1,0,2.161790457076254,32,0,0,0,1,3,0,1,1,1,0,1,1,2,0,0,1,-2.822926995367089,-0.7100353157546846
1,0,1,0,2.1563235973292025,33,2,1,1,2,0,1,1,1,0,2,1,0,3,1,1,1,-0.1843893328816568,-0.2602433862889524
1,0,0,2,2.155234218660139,34,1,1,1,1,0,0,1,1,0,2,2,1,0,1,1,1,-2.376688771634605,0.9424068856719884
0,0,1,2,2.1545450905908172,35,2,0,0,1,1,2,1,0,1,2,0,0,2,0,1,0,-4.5717768626029285,-1.8364844318922624
1,1,1,2,2.1532465050468437,36,0,0,0,0,1,0,0,0,1,2,0,0,3,0,0,1,0.7863582084758507,-0.033204515739644336
0,0,1,1,2.145850107149216,37,2,0,1,1,1,0,2,1,0,0,0,1,5,1,1,1,-0.9580585106606772,-1.0043052297737818
0,1,1,2,2.142462087518603,38,1,0,1,2,2,2,2,0,0,2,0,0,2,1,0,1,-2.017489627190414,-1.8615742073421813
1,1,1,1,2.141266968308598,39,0,0,2,2,1,1,0,0,1,2,1,1,4,1,0,1,0.8258089655550336,-0.4949616180016681
1,0,1,0,2.138758218378958,40,1,1,1,0,1,2,0,1,1,0,1,1,2,0,0,1,-3.348290857838814,-1.0248313127348088
0,0,1,1,2.13281700149508,41,3,1,2,1,3,0,1,0,0,0,1,1,3,0,1,1,-2.879824965187272,-0.29228113984947995
0,0,1,2,2.129870540743081,42,2,0,1,2,1,1,1,1,0,2,1,0,6,1,1,1,-1.6704155777851937,-0.4160089247314054
0,0,0,0,2.128683901571223,43,0,0,0,1,0,1,0,1,1,0,1,0,6,0,0,0,-4.2230460556084015,-0.6168935273210892
1,0,1,2,2.1250379340691037,44,1,0,1,0,3,0,0,1,1,2,2,0,4,1,1,0,-1.4776811871895967,-0.7718977742879534
0,0,0,0,2.1233336643792926,45,3,1,2,2,2,0,1,1,0,0,0,1,4,1,1,0,0.27343557993053746,1.605532187959744
1,1,1,2,2.1196118409059146,46,0,0,1,2,0,0,2,1,0,1,1,1,5,0,0,0,-4.38944686141757,0.9124518609375284
1,1,0,2,2.1193366328131904,47,2,1,2,1,0,0,0,0,1,0,2,0,0,1,0,0,-3.2181599201507605,0.3797954009316831
1,0,0,2,2.1181604177545705,48,2,0,1,1,2,0,1,0,0,0,2,1,4,0,0,0,-0.4817220181979076,-0.9652868674891772
1,0,0,1,2.1168504275289903,49,3,1,1,2,0,2,1,0,0,0,2,1,2,0,0,1,-2.3289705286558107,-2.2935861827925432
1,1,1,2,2.1145871178162343,50,3,1,1,2,2,1,0,1,0,0,2,1,1,0,1,1,-3.8017486601419863,-0.44403580404195786
0,1,0,1,2.114303664997768,51,2,1,0,1,2,0,1,1,0,1,2,0,2,0,1,1,-1.7203875345093276,-0.7871726066272715
1,0,1,2,2.113879063420603,52,0,1,0,1,0,1,0,1,1,0,1,0,5,1,1,1,0.18037396263547126,-2.5119281986237345
1,1,0,0,2.113502045954197,53,3,0,2,2,3,0,0,1,1,1,1,1,1,1,1,0,0.320849744059049,1.295041378001148
0,1,0,1,2.111587566260316,54,0,1,2,2,1,0,1,0,0,2,2,0,5,0,1,0,-0.5508303885596781,0.6210281717247939
1,0,0,0,2.1081681442794657,55,1,1,1,2,3,0,1,0,1,2,2,1,4,0,0,0,-2.612634647772788,0.6375517426199337
1,1,1,2,2.1081623348403435,56,2,0,0,1,0,2,2,1,1,0,0,1,1,0,1,0,-4.36669415824137,1.6667036752149107
1,1,1,1,2.102706011453534,57,1,1,0,1,1,0,2,1,0,1,2,1,4,1,1,1,-2.968095807498315,1.0472321197270549
0,1,0,0,2.094060059796881,58,3,0,2,2,0,0,1,0,0,2,0,0,4,1,1,1,0.20842271914854127,0.8603840037128139
1,1,1,1,2.091601026230586,59,1,1,0,1,0,1,0,0,1,1,2,0,3,0,0,0,0.7559678285458231,1.0926191262747509
1,1,1,2,2.090298181125829,60,0,0,0,1,0,1,2,0,0,2,0,0,5,1,0,0,-3.1967392882494496,1.2723426296756886
1,0,0,0,2.0877161089016663,61,0,0,1,0,3,1,2,1,0,0,1,0,5,0,1,1,-3.480959026051916,-0.6119557876676076
1,0,0,1,2.0804151822178407,62,1,1,0,0,3,1,1,0,1,1,0,1,1,1,0,1,-1.6876577152914445,-1.626848340945538
1,0,0,2,2.0769121061459,63,3,1,0,2,2,0,0,1,0,0,2,0,0,1,1,0,0.8010384975758101,0.33994646154533736
0,0,0,2,2.0761091283647444,64,1,1,1,2,0,1,0,1,1,1,0,0,4,1,1,0,-1.0847592520401237,0.98088317889977
1,0,1,0,2.073989553777104,65,2,1,2,2,0,0,0,0,0,1,2,0,4,0,1,1,-1.52738700174368,-2.8124182614175908
0,0,1,2,2.0728810008677443,66,2,1,0,0,3,0,2,0,0,0,2,1,0,1,0,0,-0.5082672140948103,0.8541767017181696
1,1,0,0,2.0685080957988338,67,1,0,2,1,2,1,0,0,1,0,2,1,4,1,0,0,-2.7806316260205928,0.20115850848857386
0,1,1,1,2.066255390684701,68,2,0,2,1,0,2,2,0,0,2,0,1,1,0,1,1,-0.19845666116861335,-1.6959622082526815
0,1,1,2,2.0657752822290933,69,1,1,0,0,0,2,0,1,0,2,2,1,5,1,0,1,-4.054103786001057,-0.033615400519440015
1,1,1,0,2.064356271988509,70,0,1,2,0,1,0,2,0,1,2,1,0,6,0,1,1,-2.996384012023693,1.0785982352693102
1,0,1,0,2.0626328360463857,71,0,0,2,0,0,1,0,0,1,2,0,0,6,1,1,1,-0.12904358330190746,-2.263777542292451
1,1,0,2,2.0573786644929246,72,1,0,2,1,0,1,0,1,1,1,1,0,6,1,1,1,-2.679952838720521,-2.392398842752712
1,1,1,2,2.050469350222807,73,0,0,2,2,2,1,2,0,0,0,2,0,4,0,0,0,-2.2414475307377306,-2.5555760189385928
1,0,0,0,2.0500937520271574,74,0,0,1,2,3,2,1,1,0,1,0,1,5,1,1,0,-2.7897092084567467,0.1834104593439574
1,1,0,2,2.0486156256385457,75,3,0,1,2,1,2,2,0,0,0,1,1,3,0,0,1,-2.2057554766806735,-2.398685478372773
1,0,1,0,2.0466926106447847,76,1,0,0,0,1,2,2,1,1,1,2,0,5,1,1,1,-1.9743396538755664,-2.572615608909162
1,1,1,0,2.0437776022863217,77,3,0,1,1,2,1,1,1,1,2,1,0,4,0,1,0,-0.5590349085925412,-2.795962929905388
1,0,1,1,2.038447168323115,78,3,0,0,2,1,0,1,0,1,0,2,0,4,0,0,0,-1.7768516988666194,-0.9470915441803882
1,1,0,0,2.0339614346671704,79,3,0,0,2,2,0,0,1,1,2,0,0,3,1,0,1,-4.0812714988566725,-1.282954499240578
0,0,1,0,2.0329027588012023,80,1,0,1,0,1,2,2,0,0,2,0,1,2,0,1,1,-3.5312663848565484,-0.2349511699524913
1,1,0,0,2.0313273703668,81,3,0,0,2,1,1,1,0,0,2,1,1,1,1,1,1,-4.396588818228628,-2.8054786922539434
1,1,1,0,2.0215044332653687,82,0,1,2,1,3,1,1,1,1,2,1,1,4,0,0,1,-3.905989920831684,-1.6321877385164698
1,0,1,1,2.017357298639171,83,1,1,0,1,0,2,0,1,0,1,2,1,5,1,1,1,0.7891430724696615,0.9751180014025604
0,0,1,0,2.0168975001518485,84,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,-1.9764298747590767,-2.3972122699319316
0,0,1,0,2.0152275672187043,85,2,1,1,2,0,1,2,1,1,2,0,0,3,0,1,0,-3.489814135019921,0.3862359673870861
0,0,1,1,2.0126559874135093,86,0,1,0,2,2,2,2,1,1,0,1,1,5,1,0,0,0.9031562415337132,-0.7688470247767256
0,0,0,1,2.010629535576685,87,3,0,2,1,2,2,0,1,1,1,0,0,6,0,1,1,0.4059089550115179,-1.8001947431400729
0,1,1,0,2.010220496016533,88,3,1,0,2,2,2,2,0,1,2,2,0,2,0,1,1,-0.11993254695043555,0.4449491125644762
1,1,1,2,2.0087091927511462,89,1,0,0,1,1,2,1,0,1,2,0,1,4,1,1,0,-0.8783802962604801,1.1252812931944218
1,1,0,1,2.0077961963608684,90,2,1,0,2,3,2,0,1,0,1,2,0,3,1,0,1,-4.31094715137128,-2.1731495998166555
1,1,1,1,2.0031244645934407,91,0,0,2,0,1,1,1,0,1,0,1,1,3,0,0,0,0.18924064118881034,-0.13259665933225628
0,0,0,0,2.0010046625565225,92,0,1,0,0,1,0,0,0,1,2,2,1,0,1,0,1,-1.52,0.26
1,1,0,0,2.000176793446301,93,0,1,2,0,0,0,2,0,0,0,1,1,1,0,1,0,-2.9826041000287704,0.2201270674912408
1,0,1,1,1.9968364787195485,94,2,0,2,2,1,2,1,0,0,2,1,1,3,1,1,1,-0.5903024076747211,0.7780946960368134
0,0,0,2,1.9955790089728265,95,3,0,2,2,3,0,1,0,0,1,0,0,2,0,1,1,-1.6179681475592744,-0.7292639655349609
1,0,0,2,1.9918560591732044,96,1,1,0,2,2,1,2,1,1,2,0,0,2,1,0,0,-2.030281319895083,0.12710357367422587
0,1,0,2,1.9888595144519217,97,1,0,0,0,2,2,2,1,0,1,0,1,3,0,0,1,-4.623536318137295,-0.5915541633784822
1,1,1,1,1.9887627174071567,98,0,1,2,0,1,1,0,0,0,1,2,0,4,0,0,0,-2.182808156617672,-0.1707435365502148
0,0,1,2,1.9871207640226936,99,1,0,0,1,3,1,2,0,0,1,0,0,3,0,0,1,-3.845920472313513,-1.398462718019458
0,1,0,2,1.9852344155910264,100,2,0,1,2,0,2,2,1,1,1,0,1,6,0,1,0,-1.5526415143608197,-1.5664673668524889
1,0,1,2,1.9845082567007264,101,1,1,0,2,2,1,0,0,0,2,0,0,6,0,1,1,-3.1642756510117995,0.9302706836684552
0,1,1,1,1.9840936172079495,102,3,0,0,1,1,2,0,0,1,1,0,0,4,1,0,1,-3.2483751904562226,-2.827659080793041
0,1,1,1,1.9830943833886008,103,1,1,1,1,0,0,0,1,1,0,0,0,3,1,1,0,-1.1800865919343355,-2.69231662198823
0,1,0,1,1.9786428575215247,104,0,0,0,2,1,2,2,0,0,1,2,0,4,0,1,1,-3.2239289354055694,-2.6940358770525767
0,0,0,2,1.9763553259620124,105,3,0,2,0,3,0,1,0,0,0,0,1,6,0,1,0,-2.479755816048795,-2.506404712648852
1,1,0,0,1.9758017753267287,106,2,0,1,1,2,1,0,1,1,1,2,0,2,1,1,0,0.8375220670978889,0.8768641566924447
0,0,0,0,1.9754545786704985,107,0,1,0,0,0,0,0,0,1,2,2,1,0,1,0,1,-1.56,1.43
0,1,1,1,1.9747759902443842,108,2,0,2,1,3,0,1,1,0,2,1,1,2,1,1,1,-2.4426342798341305,-2.967184953482167
0,0,1,2,1.9710657111670715,109,0,0,1,0,2,1,0,1,1,2,2,0,3,1,1,0,-2.9684098633803564,1.5764238313476635
1,0,1,1,1.9708194051831804,110,0,0,1,2,3,0,2,1,0,2,2,1,2,1,1,0,-0.3877212507685588,-1.226463325182335
1,1,1,0,1.9698060975298963,111,1,1,0,2,3,2,0,0,0,0,2,1,4,1,0,0,-3.756753449605706,0.8498699711015759
1,1,0,1,1.9676588160018411,112,1,0,2,1,3,0,0,0,0,0,0,0,3,0,0,0,-4.182465957265453,-1.7130899939397897
0,0,1,2,1.9667523023758933,113,2,0,0,0,2,2,2,1,0,0,1,0,0,1,1,0,-4.2041075887830015,-2.682923307829242
1,1,0,0,1.965227961792176,114,2,0,0,0,1,1,1,0,1,2,2,1,6,1,0,0,-0.5195628398893515,-0.09379166273030792
1,0,0,0,1.9616495235320783,115,3,1,0,2,1,0,0,1,0,2,2,0,2,1,1,0,-3.2852097786123293,1.62938024031041
1,1,1,0,1.9614119911774903,116,3,1,1,2,3,1,2,1,1,1,0,0,0,1,1,1,-1.247188572068077,-2.3213038840184446
1,0,0,1,1.9593691741310053,117,0,0,0,0,1,0,2,0,0,2,1,1,1,1,1,1,-3.078785250131632,-0.5270656685562134
1,0,1,0,1.956568178328313,118,2,0,1,0,3,2,1,0,0,0,2,0,1,1,0,0,-3.6002885694240683,-1.3907766152957344
1,1,1,2,1.9535925666577836,119,3,1,2,2,2,0,1,0,1,0,0,0,1,1,1,0,-2.7275030990604145,0.35916244823515564
0,0,1,1,1.9504254790595168,120,1,1,0,1,3,1,0,1,0,0,0,0,1,0,0,0,-1.2460176982035986,-0.39747437081442
0,1,0,0,1.9444873506644849,121,1,0,1,1,0,0,2,0,1,1,0,0,2,1,1,1,-1.7950765723744675,-1.394795197207093
1,1,0,0,1.9438788097828108,122,1,1,2,2,1,2,2,1,0,2,1,0,1,1,1,0,-1.4157570586569197,-1.9694527040314664
0,1,0,0,1.9435532415194603,123,3,0,1,2,2,2,2,1,0,1,0,1,1,0,0,1,-3.8355979648188456,1.2839614757410924
1,1,1,1,1.9368884165335047,124,2,0,0,0,0,0,2,0,0,2,2,0,1,0,0,0,-1.0290553253323278,1.6415835950469535
0,1,0,1,1.9363638158575407,125,1,0,2,1,1,1,1,1,0,1,1,0,1,0,0,0,0.13976647695911734,-1.0904324912164545
1,1,0,1,1.9359407979747971,126,3,0,2,0,3,0,2,0,1,0,2,0,5,1,0,1,0.44273317706317705,-0.01795897131476165
0,1,0,1,1.9355371992845656,127,1,1,1,1,0,0,0,1,1,2,2,1,2,0,0,1,0.40531542058464703,-1.2647360622408046
0,1,0,0,1.9341684664728565,128,3,1,2,1,0,2,0,0,0,2,2,1,0,0,0,0,-2.705890067932799,0.9504900923621332
0,1,1,1,1.9313242346291328,129,1,1,1,2,2,2,0,0,1,1,1,0,6,1,0,0,-4.071627316689134,-0.6437853725012612
0,1,0,2,1.9285968791963817,130,1,0,2,2,0,0,1,1,1,0,0,0,1,0,0,0,-4.065761493558041,-0.36521414609702507
0,1,1,0,1.9284349111631665,131,2,0,2,1,2,1,2,0,0,1,0,0,5,1,0,0,-3.5951925783348675,-2.2236164189862886
1,0,1,1,1.92549297606496,132,3,1,1,2,3,1,0,1,1,0,2,0,4,0,1,0,-1.3948827627414149,0.4525397240716638
1,1,0,1,1.9209054741640688,133,3,1,2,2,3,1,2,0,1,0,0,1,5,1,0,1,-2.0998292697200918,-2.324496634384868
1,1,0,1,1.9194991539495363,134,3,0,2,0,1,2,1,1,1,0,2,1,1,0,1,0,-2.6222407632164995,0.4505835840676693
0,1,1,1,1.9194345266373245,135,3,1,2,0,1,1,0,0,1,2,1,0,5,1,0,0,-4.543893988294814,1.672102370243867
0,1,0,1,1.9184722750785204,136,3,1,0,2,0,2,2,0,0,0,0,1,2,1,0,1,0.0770367595685082,-0.4072585939720312
1,1,0,1,1.9165247792501003,137,1,0,1,1,2,0,1,0,0,0,1,0,6,1,0,0,0.5809378303137782,-1.540356685610036
1,1,1,0,1.9147415708560755,138,0,1,0,1,3,1,2,0,1,1,0,0,3,0,1,0,-4.540548736180519,-0.598285032493648
0,0,1,2,1.913677191558808,139,0,1,0,1,1,1,2,0,0,2,0,1,5,1,0,1,0.8490540408612359,0.6983543298846309
0,1,0,2,1.908305514463165,140,0,1,2,0,1,2,2,0,0,2,0,1,1,0,1,1,-1.587008666704279,-1.7087221707957307
1,0,1,2,1.9010517690693292,141,2,0,2,1,0,1,2,1,1,2,2,0,0,0,0,1,-3.410747411277442,1.4167363574482958
0,0,0,0,1.9002872236558352,142,1,1,1,0,0,0,0,1,1,1,2,1,3,1,0,1,-0.16307470147087064,-1.3833006313875928
0,0,0,2,1.9001004701510642,143,3,1,0,1,0,0,0,0,1,1,0,1,4,0,1,0,-4.433088626898691,1.6284627321813492
1,1,0,2,1.8970042092342985,144,3,1,1,1,3,0,0,1,1,0,2,0,0,1,1,0,-0.9797932374309156,-1.3673026376677548
0,1,1,2,1.8925705582992527,145,2,1,1,0,1,1,2,1,1,1,0,0,0,1,1,1,-2.2802306874685803,-2.085597065438175
0,0,0,2,1.8868572247745141,146,0,1,0,0,0,2,0,0,1,0,2,1,0,1,0,0,-1.73,-0.23
1,0,1,0,1.878733250577552,147,0,0,2,0,3,2,2,0,0,1,1,1,0,0,1,1,-2.5763445527618734,-0.4437561193491839
0,1,1,0,1.875333088692821,148,2,1,1,2,3,2,2,1,1,0,0,0,4,1,0,0,-4.2849049727659265,1.3503530236954466
1,0,0,0,1.8716133457101056,149,3,0,0,2,3,2,0,0,0,2,2,0,4,1,1,1,-1.6330738340727562,1.0873670257348866
1,0,1,1,1.8704235980500137,150,1,0,1,2,0,1,2,0,0,2,2,1,2,0,0,0,-0.0008055785608105381,1.0625486188243638
0,0,0,0,1.8698720615046884,151,1,0,0,0,0,1,1,1,1,0,1,1,2,1,1,0,-0.5946146335165716,0.4772848630014166
1,0,1,2,1.869851775814201,152,3,1,1,1,1,1,0,0,1,1,2,1,5,0,1,0,-4.295366482752061,-1.957699652731824
1,0,1,1,1.8677386651516743,153,2,1,0,1,0,1,1,1,1,2,2,0,6,0,1,1,-3.8337316610047463,-1.2652250220120551
0,0,0,2,1.8667005637137843,154,0,0,0,0,2,2,0,0,1,1,2,0,6,0,1,1,-2.5491697202442896,1.5240739560577676
1,0,1,0,1.8618471225765856,155,3,1,2,2,3,2,1,1,0,2,0,1,1,1,0,0,-0.18211726266892114,-2.98828046574968
0,0,0,0,1.8613458776329803,156,0,1,1,1,3,2,0,0,1,2,0,1,3,1,0,1,-1.638484837691085,-2.6253275654217867
0,1,1,1,1.859917707118234,157,2,0,2,2,3,0,2,1,1,0,2,1,0,1,0,1,-3.3117712783092035,-2.5603514834026826
1,0,0,0,1.858260995580104,158,2,1,2,1,0,0,2,1,1,2,1,0,6,0,1,0,-2.2439443995470056,-2.3923581987925933
0,1,1,1,1.8580802171536541,159,2,1,0,0,2,2,2,1,1,0,1,1,5,0,0,1,-2.2628342176689342,-2.493044435577049
0,1,0,2,1.857268796123456,160,1,0,1,1,1,1,2,1,1,2,0,1,0,0,0,1,-3.3586371707874845,1.6006326382560054
1,1,0,0,1.8542990462286388,161,2,0,2,0,3,0,0,1,0,0,2,1,2,1,1,0,-2.974742495401559,-0.0977300858624126
1,1,0,0,1.852912447337285,162,0,1,0,2,3,2,1,0,1,0,2,0,2,0,0,1,-2.192160520573967,1.4288442688648564
1,0,0,1,1.852103988884373,163,1,1,0,2,3,0,0,1,0,1,1,0,6,1,0,1,-1.7107995314523006,-1.7728122094960324
1,1,1,1,1.8520641895961336,164,0,1,0,1,0,1,1,1,1,0,0,0,4,1,1,1,-1.3354783484458226,1.3345996293773084
0,1,1,0,1.8466489337517604,165,1,1,2,2,3,2,0,0,0,0,1,0,0,1,1,1,-0.6681360230194269,0.6474149504503606
1,1,1,0,1.838431390451244,166,3,0,2,0,3,1,1,0,0,2,1,1,2,0,1,1,0.874694018188281,-0.5313554224201589
0,0,1,0,1.8359068073440752,167,0,0,1,0,2,2,2,1,0,2,0,0,3,0,0,1,-4.4113732937513666,-0.8224572605889029
0,0,0,0,1.8303540746066191,168,1,0,0,0,1,1,2,1,1,1,2,1,6,1,1,0,-2.61834285164315,1.1129287113681476
0,0,1,0,1.828351120676836,169,0,1,1,0,3,1,0,1,0,0,0,1,2,1,1,0,-1.801971323014787,-1.4647458800703683
1,1,0,0,1.8248921544347785,170,3,1,1,2,3,2,1,1,1,0,0,0,1,0,0,1,-2.0714305913384545,-1.2705820410209534
0,1,1,2,1.8245936807103988,171,0,1,2,1,3,2,0,0,1,2,0,0,4,0,0,0,-0.5504499560488405,0.5058741639332749
1,1,0,1,1.8227467642686739,172,2,0,2,1,3,0,1,0,1,2,2,1,3,0,0,1,-1.1117142355844645,-0.4183717491913206
0,0,0,0,1.822693085668107,173,1,0,1,0,0,1,1,0,0,1,2,1,6,1,1,1,-0.3253800551364572,-0.7041885296050752
1,0,0,0,1.8223987113404827,174,0,0,2,2,0,2,1,0,0,1,1,0,4,0,0,1,-0.4019601357918994,-2.280621831885743
1,1,1,0,1.8202046176192548,175,0,1,1,0,0,2,0,1,0,0,1,0,6,0,0,1,-1.840318277066772,-2.660041644658483
0,0,0,0,1.8177418809842296,176,0,0,0,0,0,2,0,0,0,0,2,1,1,1,0,0,-2.8,-0.91
0,1,0,1,1.8146110691354418,177,3,0,1,2,1,1,1,1,1,0,2,1,4,0,0,0,-4.436589127653253,-0.004995440513800632
0,1,1,0,1.8075322883151603,178,1,1,2,2,3,1,1,1,1,1,0,0,3,1,1,1,0.4198219383940192,0.7457289173364612
1,0,0,2,1.8061637193638465,179,2,1,2,0,1,1,1,0,0,1,2,0,5,0,1,1,-2.435805454635979,-0.20406429306632567
1,0,1,2,1.8021495369723644,180,0,0,1,2,3,2,1,0,1,2,1,1,4,1,1,0,-4.461308467509957,-0.6678991196509161
0,0,1,1,1.8014443787916663,181,1,0,1,1,2,0,2,0,0,0,2,1,5,0,1,0,-2.13182642819182,1.4281367615502676
0,1,1,1,1.7987691202830138,182,0,1,2,2,0,2,1,1,0,2,1,1,1,0,0,1,-4.42799846296484,1.4075944969048282
0,0,1,0,1.7960716672818653,183,3,1,0,2,0,2,0,1,0,1,2,0,3,1,0,1,-1.4327138953402154,1.2033455715162322
1,0,1,0,1.7885294678358723,184,1,1,1,1,3,1,2,1,0,0,0,1,2,0,0,0,-1.224005530587524,-2.855190397829259
1,0,0,0,1.7884939522192318,185,1,0,2,0,0,0,0,1,1,1,1,0,5,1,0,0,-4.466739242511202,-2.736704370726645
0,0,1,1,1.7857594972120898,186,1,1,1,1,2,2,1,0,1,2,1,0,4,0,1,0,-4.123818949860393,0.6357637815987527
0,0,0,0,1.7850383602465985,187,0,1,0,0,0,2,0,0,0,0,2,1,0,1,0,0,-2.14,-0.31
1,1,1,2,1.7822584397717212,188,0,1,1,0,3,0,1,0,0,0,0,0,3,0,1,0,0.31191414807264817,-1.5575104091112442
0,0,1,1,1.7819017568443702,189,3,0,1,1,2,1,2,0,0,1,0,1,3,0,0,1,-3.2536679199171274,-1.7860989781958418
1,1,0,2,1.7817349274968848,190,3,0,0,0,1,0,0,1,1,1,2,1,3,0,1,1,0.925778594949052,-2.574087329496608
1,1,0,0,1.7733467745732772,191,2,0,0,2,3,0,2,1,1,1,0,0,3,0,1,0,-0.8053178352148018,1.17334855212221
0,1,1,0,1.7671888498145012,192,1,1,2,1,2,1,0,0,1,1,2,0,1,0,0,1,-3.706824900794079,-1.3510741882764032
0,0,0,0,1.7627909528867378,193,3,1,0,0,1,2,0,0,0,2,2,0,6,1,0,1,-2.7075982286452853,-2.6292745755260065
1,1,0,0,1.761962517855232,194,2,0,1,2,0,0,2,0,0,2,1,0,0,0,0,1,-3.9988197818924314,-0.8168897465208547
0,0,1,0,1.7607505701541777,195,1,1,0,2,1,1,1,0,1,1,0,0,2,1,1,0,-1.867727695490906,0.6229940427365275
1,0,1,1,1.7606384937616046,196,1,0,1,0,2,0,2,1,1,1,1,1,0,0,0,1,0.7569626471962021,-1.941735664375864
0,0,0,2,1.757274903585719,197,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,-1.56,-0.64
